index,fold
11,1
12,1
25,1
26,1
46,0
57,1
58,2
59,1
72,0
76,0
81,0
107,2
113,2
118,0
120,0
126,2
129,0
134,2
136,0
138,1
145,1
147,2
158,1
163,2
179,2
191,1
210,0
221,0
224,1
225,1
228,2
237,0
248,1
256,0
263,1
264,0
265,1
266,2
281,0
294,2
297,1
313,2
317,0
319,1
331,1
354,1
359,1
366,0
372,2
377,1
379,2
388,0
399,1
402,0
403,2
416,0
433,2
435,0
446,1
448,0
454,1
467,2
472,2
474,1
500,0
504,2
516,0
521,2
526,2
533,1
536,1
538,2
550,1
560,1
566,1
578,2
605,1
607,1
610,1
613,0
616,1
623,0
633,0
636,0
642,0
645,2
650,0
652,0
656,1
657,1
664,1
666,2
668,0
677,1
692,1
695,2
701,1
706,2
709,0
715,2
716,1
721,2
747,1
751,0
770,0
782,2
784,1
793,1
795,2
802,0
816,1
819,0
822,0
823,2
831,1
832,0
833,1
847,0
849,1
857,1
861,0
866,1
873,0
875,1
883,0
887,0
898,0
904,1
911,0
915,1
930,1
931,1
939,0
945,2
946,1
947,1
949,2
959,0
962,0
966,0
967,2
978,2
982,1
992,0
1002,2
1027,0
1036,0
1040,2
1053,0
1061,0
1077,2
1084,1
1108,2
1113,0
1123,1
1125,1
1133,0
1136,2
1146,2
1151,2
1154,2
1161,1
1172,2
1188,0
1202,2
1213,2
1222,1
1236,0
1238,0
1240,1
1241,2
1269,0
1275,0
1284,1
1285,2
1288,0
1292,1
1293,1
1299,1
1303,0
1313,2
1318,1
1325,1
1328,2
1332,1
1336,2
1343,2
1349,1
1350,0
1357,1
1373,0
1382,2
1392,0
1407,0
1409,1
1417,1
1422,2
1427,1
1429,2
1438,1
1444,2
1446,1
1458,1
1463,0
1469,0
1488,1
1490,2
1492,2
1493,2
1515,2
1518,0
1526,2
1534,0
1535,1
1545,0
1550,0
1564,2
1575,0
1577,1
1584,2
1598,2
1609,2
1613,0
1624,0
1633,0
1639,1
1641,1
1653,0
1654,0
1659,2
1660,0
1661,1
1662,2
1666,1
1667,0
1678,0
1679,1
1682,1
1683,2
1686,1
1690,1
1703,1
1704,2
1720,1
1723,2
1726,1
1728,2
1729,2
1736,0
1747,0
1750,0
1756,0
1765,1
1775,1
1781,2
1790,2
1807,1
1809,0
1812,0
1817,0
1823,1
1826,2
1829,2
1837,2
1839,0
1852,2
1862,1
1884,1
1888,1
1908,0
1914,1
1919,2
1923,0
1925,0
1928,0
1929,2
1931,0
1946,2
1947,0
1949,1
1956,1
1959,0
1969,2
1976,0
1977,0
1980,1
1986,0
2006,0
2016,0
2037,2
2058,2
2070,2
2071,1
2076,0
2098,1
2099,1
2109,2
2117,1
2123,1
2124,0
2143,2
2149,2
2162,1
2172,2
2178,1
2184,1
2195,1
2203,1
2205,0
2207,0
2226,2
2236,1
2238,1
2241,1
2254,2
2258,2
2262,1
2273,2
2276,2
2291,0
2293,2
2295,1
2305,2
2307,2
2320,1
2324,0
2338,1
2339,0
2355,1
2358,1
2362,2
2381,2
2383,1
2385,2
2388,0
2390,1
2391,1
2395,0
2400,0
2406,0
2408,2
2413,0
2414,1
2423,1
2425,1
2429,0
2431,1
2436,2
2438,0
2473,1
2484,2
2489,2
2490,2
2492,1
2505,1
2514,0
2522,2
2529,2
2537,0
2549,2
2552,1
2554,2
2566,0
2571,0
2574,0
2575,2
2582,1
2587,1
2593,0
2617,2
2622,1
2627,0
2631,0
2635,2
2647,0
2648,1
2653,0
2655,2
2670,0
2676,1
2680,1
2685,0
2689,2
2690,2
2697,0
2699,1
2715,1
